,0,1,2,3,4,5
0,3/25/2024,Avalanche: Bonkers,Salt Lake,Skier,"12""",200'
1,3/25/2024,Avalanche: Gobblers Knob,Salt Lake,Skier,"10""",100'
2,3/25/2024,Avalanche: Main Days,Salt Lake,Skier,"18""",200'
3,3/25/2024,Avalanche: Ricardos,Salt Lake,Skier,2.5',100'
4,3/25/2024,Avalanche: Cardiff Fork,Salt Lake,Skier,"9""",50'
5,3/24/2024,Avalanche: Corkscrew Glades,Moab,Skier,"6""",50'
6,3/24/2024,Avalanche: Montreal Hill,Salt Lake,Snowboarder,"18""",35'
7,3/24/2024,Avalanche: Toots Suite,Salt Lake,Skier,"6""",30'
8,3/24/2024,Avalanche: Toots Suite,Salt Lake,Skier,"5""",30'
9,3/24/2024,Avalanche: Murdock Peak,Salt Lake,Skier,"12""",60'
10,3/24/2024,Avalanche: Montreal Hill,Salt Lake,Skier,"18""",30'
11,3/24/2024,Avalanche: Thomas Fork,Salt Lake,Skier,"10""",200'
12,3/24/2024,Avalanche: Toots to Boot,Salt Lake,Natural,"2""",50'
13,3/24/2024,Avalanche: west porter,Salt Lake,Skier,"4""",200'
14,3/24/2024,Avalanche: Maybird Gulch,Salt Lake,Natural,"5""",
15,3/24/2024,Avalanche: west porter,Salt Lake,Snowboarder,"6""",50'
16,3/24/2024,Avalanche: Weber Canyon,Uintas,Other,"14""",80'
17,3/24/2024,Avalanche: White Pine Creek,Logan,Snowboarder,"7""",70'
18,3/24/2024,Avalanche: Yellow Jacket,Salt Lake,Skier,,15'
19,3/24/2024,Avalanche: Murdock Peak,Salt Lake,Skier,"10""",35'
20,3/24/2024,Avalanche: Reynolds Pk,Salt Lake,Skier,"6""",20'
21,3/24/2024,Avalanche: Gods Lawnmower,Salt Lake,Skier,"6""",10'
22,3/24/2024,Avalanche: Raymond Glade,Salt Lake,Skier,"8""",40'
23,3/24/2024,Avalanche: Alexander Basin,Salt Lake,Skier,,
24,3/23/2024,Avalanche: Chilly Peak Slabs,Ogden,Natural,,
25,3/21/2024,Avalanche: Blue Ice,Salt Lake,Natural,,50'
26,3/20/2024,Avalanche: Flagstaff Gully,Salt Lake,Natural,"14""",100'
27,3/19/2024,Avalanche: Grandfather Cornice,Logan,Natural,,150'
28,3/19/2024,Avalanche: Mineral Basin,Salt Lake,Natural,,
29,3/19/2024,Avalanche: American Fork,Provo,Unknown,,
30,3/18/2024,Avalanche: Chalk Creek,Uintas,Natural,,
31,3/18/2024,Avalanche: Mt Aire,Salt Lake,Snowboarder,,50'
32,3/17/2024,Avalanche: Oquirrh Mountains,Salt Lake,Natural,,
33,3/16/2024,Avalanche: Strawberry Ridge,Uintas,Snow Bike,2.5',250'
34,3/16/2024,Avalanche: Horse Creek Chutes,Moab,Natural,4',"1,500'"
35,3/16/2024,Avalanche: Mount Mellenthin,Moab,Natural,,
36,3/16/2024,Avalanche: Talking Mountain Cirque,Moab,Natural,,
37,3/16/2024,Avalanche: Broads Fork/Mill B,Salt Lake,Natural,"18""",150'
38,3/16/2024,Avalanche: Currant Creek Environs,Uintas,Unknown,4',150'
39,3/16/2024,Avalanche: Mt Tukuhnikivatz,Moab,Natural,2',450'
40,3/16/2024,Avalanche: Tuk NE Face,Moab,Natural,2',125'
41,3/16/2024,Avalanche: Talking Mt. Cirque,Moab,Natural,2',100'
42,3/16/2024,Avalanche: Snaggletooth Chutes,Moab,Natural,"18""",50'
43,3/16/2024,Avalanche: Lone Pine,Moab,Natural,"18""",50'
44,3/16/2024,Avalanche: East Hellgate,Salt Lake,Natural,,
45,3/16/2024,Avalanche: Middle Cirque,Moab,Natural,2',450'
46,3/16/2024,Avalanche: Little Superior,Salt Lake,Skier,"12""",35'
47,3/16/2024,Avalanche: Cleaver Chutes,Moab,Natural,"18""",
48,3/16/2024,Avalanche: Flagstaff Ridge,Salt Lake,Skier,"3""",10'
49,3/16/2024,Avalanche: Aspen Grove,Provo,Skier,"4""",100'
50,3/16/2024,Avalanche: Currant Creek Environs,Uintas,Unknown,4',150'
51,3/15/2024,Avalanche: Mt. Raymond,Salt Lake,Natural,,
52,3/15/2024,Avalanche: Davenport Hill,Salt Lake,Natural,"18""",50'
53,3/15/2024,Avalanche: Days Fork,Salt Lake,Skier,"5""",20'
54,3/15/2024,Avalanche: Wolverine Peak,Salt Lake,Snowboarder,2',40'
55,3/15/2024,Avalanche: Microwave,Salt Lake,Skier,"8""",80'
56,3/15/2024,Avalanche: Talking Mt. Cirque,Moab,Natural,,500'
57,3/15/2024,Avalanche: Hobble Creek Left Fork,Provo,Natural,"10""",20'
58,3/15/2024,Avalanche: Neffs,Salt Lake,Natural,"12""",30'
59,3/15/2024,Avalanche: Mill B South,Salt Lake,Skier,"15""",45'
60,3/14/2024,Avalanche: Neffs,Salt Lake,Skier,"6""",20'
61,3/14/2024,Avalanche: Superior,Salt Lake,Skier,"14""",35'
62,3/14/2024,Avalanche: Short Swing,Salt Lake,Skier,"6""",15'
63,3/13/2024,Avalanche: Greaseball,Salt Lake,Natural,"3""",30'
64,3/13/2024,Avalanche: Black Bess,Salt Lake,Skier,"10""",50'
65,3/13/2024,Avalanche: Emma Ridges,Salt Lake,Skier,"5""",20'
66,3/13/2024,Avalanche: Meadows,Salt Lake,Skier,"10""",50'
67,3/13/2024,Avalanche: Weber Canyon Environs,Uintas,Skier,"12""",40'
68,3/13/2024,Avalanche: west porter,Salt Lake,Natural,"10""",250'
69,3/13/2024,Avalanche: Twin Lakes area,Salt Lake,Skier,"18""",40'
70,3/13/2024,Avalanche: Grizzly Gulch,Salt Lake,Snowboarder,"8""",20'
71,3/13/2024,Avalanche: Uintas,Uintas,Natural,,
72,3/12/2024,Avalanche: Lawnmower Trees,Moab,Skier,"12""",25'
73,3/11/2024,Avalanche: Triangle Couloir,Salt Lake,Natural,,
74,3/10/2024,Avalanche: White Pine,Salt Lake,Skier,,
75,3/10/2024,Avalanche: Airplane Peak,Salt Lake,Skier,"5""",200'
76,3/10/2024,Avalanche: Cutler Ridge,Ogden,Skier,"4""",30'
77,3/10/2024,Avalanche: Bells Canyon,Salt Lake,Skier,2',100'
78,3/10/2024,Avalanche: Big Willow,Salt Lake,Skier,"12""",60'
79,3/9/2024,Avalanche: Limber Pine,Salt Lake,Snowboarder,2',50'
80,3/9/2024,Avalanche: Red Baldy,Salt Lake,Skier,"6""",20'
81,3/9/2024,Avalanche: Gooseberry,Southwest,Snowmobiler,2',50'
82,3/9/2024,Avalanche: Brighton Perimeter,Salt Lake,Natural,,
83,3/9/2024,Avalanche: La Sal Mountains,Moab,Natural,"12""",45'
84,3/8/2024,Avalanche: Blacks Fork,Uintas,Natural,"8""",50'
85,3/8/2024,Avalanche: Indian Creek,Skyline,Snowmobiler,2',50'
86,3/8/2024,Accident: Midnight Lake,Logan,Snowmobiler,3',175'
87,3/8/2024,Avalanche: Upper Weber Canyon,Uintas,Natural,,
88,3/8/2024,Avalanche: Brighton Perimeter,Salt Lake,Unknown,,
89,3/8/2024,Avalanche: Lake Peak,Salt Lake,Snowboarder,"4""",40'
90,3/8/2024,Avalanche: Cardiac Ridge,Salt Lake,Skier,"12""",45'
91,3/7/2024,Avalanche: Chalk Creek,Uintas,Natural,2',250'
92,3/7/2024,Avalanche: Cove Creek,Skyline,Snowmobiler,5',70'
93,3/7/2024,Avalanche: Dutch Draw,Salt Lake,Skier,"6""",40'
94,3/6/2024,Avalanche: Rocky Point,Salt Lake,Unknown,"10""",70'
95,3/6/2024,Avalanche: Wolverine Cirque,Salt Lake,Skier,"6""",30'
96,3/6/2024,Avalanche: Mill Canyon Peak,Provo,Natural,4',450'
97,3/6/2024,Avalanche: Pink Pine,Salt Lake,Natural,"8""",100'
98,3/5/2024,Avalanche: Little Pine,Salt Lake,Natural,,40'
99,3/5/2024,Avalanche: Seagull,Salt Lake,Natural,"6""",20'
100,3/5/2024,Avalanche: Colorado Bowl,Moab,Snow Bike,"12""",70'
101,3/5/2024,Avalanche: Currant Creek Peak SE,Uintas,Natural,"12""",100'
102,3/3/2024,Avalanche: Bear Trap,Salt Lake,Skier,"6""",100'
103,3/3/2024,Avalanche: Bear Trap,Salt Lake,Unknown,"10""",25'
104,3/3/2024,Avalanche: Bear Trap,Salt Lake,Snowboarder,"16""",40'
105,2/29/2024,Avalanche: Raymond Slabs,Salt Lake,Natural,,
106,2/29/2024,Avalanche: Lucky Days,Salt Lake,Skier,"8""",20'
107,2/29/2024,Avalanche: Mill Hollow/Duchesne Ridge,Uintas,Snowmobiler,"8""",100'
108,2/29/2024,Avalanche: The Cove,Skyline,Snow Bike,"14""",100'
109,2/28/2024,Avalanche: Tony Grove,Logan,Snow Bike,"20""",35'
110,2/28/2024,Avalanche: Wolverine Cirque,Salt Lake,Skier,"12""",20'
111,2/28/2024,Avalanche: Black Mountain,Ogden,Natural,2',250'
112,2/28/2024,Avalanche: Millie Back Bowls,Salt Lake,Snowboarder,"8""",15'
113,2/27/2024,Avalanche: Chalk Creek,Uintas,Natural,,
114,2/27/2024,Avalanche: Parleys Canyon,Salt Lake,Natural,3',150'
115,2/27/2024,Avalanche: Lower Funnel,Moab,Natural,"12""",
116,2/27/2024,Avalanche: South Fork,Skyline,Natural,"12""",300'
117,2/27/2024,Avalanche: Toms Hill,Salt Lake,Skier,"8""",40'
118,2/27/2024,Avalanche: Toots to Boot,Salt Lake,Skier,"18""",150'
119,2/27/2024,Avalanche: Cornice Ridge,Logan,Natural,"16""",100'
120,2/27/2024,Avalanche: Wilson Chutes,Salt Lake,Skier,"6""",35'
121,2/27/2024,Avalanche: West Willow,Salt Lake,Natural,"10""",45'
122,2/27/2024,Avalanche: Potters,Skyline,Natural,"12""",250'
123,2/27/2024,Avalanche: Oscar Mayer,Logan,Natural,2.5',200'
124,2/26/2024,Avalanche: Wellsville Mountain Wilderness,Logan,Natural,2',300'
125,2/26/2024,Avalanche: Wellsville Mountain Wilderness,Logan,Natural,,150'
126,2/26/2024,Avalanche: Becks Creek,Skyline,Snowmobiler,2',400'
127,2/26/2024,Avalanche: Little Water,Salt Lake,Skier,2',250'
128,2/25/2024,Avalanche: Chalk Creek,Uintas,Skier,"4""",70'
129,2/25/2024,Avalanche: Big Springs,Provo,Skier,"10""",50'
130,2/25/2024,Avalanche: Currant Creek Peak SE,Uintas,Snowmobiler,,
131,2/25/2024,Avalanche: Hwy 150 Environs,Uintas,Unknown,2',
132,2/24/2024,Avalanche: Red Baldy,Salt Lake,Skier,"6""",70'
133,2/24/2024,Avalanche: Butler Basin,Salt Lake,Skier,"6""",20'
134,2/24/2024,Avalanche: Bonkers,Salt Lake,Skier,"8""",
135,2/24/2024,Avalanche: Chalk Creek,Uintas,Skier,10',350'
136,2/24/2024,Avalanche: Lake Peak,Salt Lake,Natural,"20""",100'
137,2/23/2024,Avalanche: Gods Lawnmower,Salt Lake,Skier,2',30'
138,2/23/2024,Avalanche: Superior,Salt Lake,Skier,2',100'
139,2/23/2024,Avalanche: North Fork,Skyline,Snow Bike,"12""",100'
140,2/23/2024,Avalanche: Red Slide,Logan,Natural,"18""",50'
141,2/23/2024,Avalanche: Banana Days,Salt Lake,Skier,6',50'
142,2/23/2024,Avalanche: Salt Lake,Salt Lake,Natural,10',150'
143,2/23/2024,Avalanche: Logan Dry (North Side),Logan,Unknown,,20'
144,2/23/2024,Avalanche: Caribou Basin,Salt Lake,Snowmobiler,4',100'
145,2/23/2024,Avalanche: Rattlesnake Canyon,Logan,Natural,2',200'
146,2/23/2024,Avalanche: Potters,Skyline,Snowmobiler,"12""",200'
147,2/23/2024,Avalanche: Raymond Shoulder,Salt Lake,Natural,2',100'
148,2/23/2024,Avalanche: Scotties Bowl,Salt Lake,Unknown,"6""",30'
149,2/23/2024,Avalanche: Pioneer Ridge,Salt Lake,Snowboarder,"12""",30'
150,2/22/2024,Accident: Miller Hill,Provo,Snowmobiler,2',"1,500'"
151,2/22/2024,Avalanche: American Fork,Provo,Natural,2',300'
152,2/22/2024,Avalanche: North Fork North Creek,Skyline,Snowmobiler,"12""",80'
153,2/22/2024,Avalanche: Argenta,Salt Lake,Skier,"6""",30'
154,2/22/2024,Avalanche: Ben Lomond Headwall,Ogden,Natural,"12""",40'
155,2/22/2024,Avalanche: Argenta,Salt Lake,Skier,"6""",60'
156,2/22/2024,Avalanche: Main Porter,Salt Lake,Natural,"20""",40'
157,2/22/2024,Avalanche: Silver Fork Headwall,Salt Lake,Skier,2.5',80'
158,2/22/2024,Avalanche: Chilly Peak Slabs,Ogden,Natural,"12""",250'
159,2/21/2024,Avalanche: Logan Canyon,Logan,Natural,"18""",100'
160,2/21/2024,Avalanche: Brian Head Ski Resort,Southwest,Skier,"10""",100'
161,2/21/2024,Avalanche: BBQ Bowl,Skyline,Natural,"12""",250'
162,2/21/2024,Avalanche: Big Horseshoe,Skyline,Natural,"14""",200'
163,2/21/2024,Avalanche: Elk Point,Provo,Natural,"16""",125'
164,2/21/2024,Avalanche: Provo,Provo,Natural,,
165,2/21/2024,Avalanche: Caribou Basin,Salt Lake,Skier,2',100'
166,2/21/2024,Avalanche: North Fork Seeley Canyon,Skyline,Natural,"12""",90'
167,2/21/2024,Avalanche: Wedding Ring Ridge,Skyline,Natural,"14""",300'
168,2/21/2024,Avalanche: Dog Dish,Salt Lake,Skier,"14""",300'
169,2/21/2024,Avalanche: Mill Hollow,Uintas,Hiker,"12""",400'
170,2/21/2024,Avalanche: East Bowl,Salt Lake,Skier,"8""",25'
171,2/21/2024,Avalanche: Mitton Peak,Logan,Natural,2',200'
172,2/21/2024,Avalanche: Yellow Jacket,Salt Lake,Skier,"6""",50'
173,2/21/2024,Avalanche: Dry Fork,Provo,Unknown,3',150'
174,2/21/2024,Avalanche: Providence Canyon,Logan,Snowmobiler,2',125'
175,2/21/2024,Avalanche: Upper Weber Canyon,Uintas,Natural,,400'
176,2/21/2024,Avalanche: Mount Naomi Wilderness,Logan,Natural,"18""",500'
177,2/21/2024,Avalanche: Box Elder Cirque,Logan,Natural,,500'
178,2/21/2024,Avalanche: Smithfield Canyon,Logan,Natural,"18""",200'
179,2/21/2024,Avalanche: Broads Fork,Salt Lake,Natural,10',300'
180,2/20/2024,Avalanche: Two Dogs,Salt Lake,Skier,,
181,2/20/2024,Avalanche: Flat Top,Logan,Natural,"18""",150'
182,2/20/2024,Avalanche: Mill Hollow,Uintas,Snowmobiler,"18""",450'
183,2/20/2024,Avalanche: Two Dogs,Salt Lake,Other,4',150'
184,2/19/2024,Avalanche: Blue Ice,Salt Lake,Natural,2',50'
185,2/19/2024,Avalanche: West Porter,Salt Lake,Skier,"16""",70'
186,2/19/2024,Avalanche: Reynolds Pk,Salt Lake,Skier,"12""",60'
187,2/19/2024,Avalanche: Pioneer Ridge,Salt Lake,Snowboarder,"20""",
188,2/19/2024,Avalanche: Reynolds Pk,Salt Lake,Natural,,60'
189,2/19/2024,Avalanche: Little Cottonwood Canyon,Salt Lake,Natural,"6""",50'
190,2/19/2024,Avalanche: Neeley Bowl,Uintas,Natural,4',200'
191,2/18/2024,Avalanche: Mirror Lake Environs,Uintas,Snowmobiler,,
192,2/18/2024,Avalanche: Petticoat,Salt Lake,Skier,2',125'
193,2/18/2024,Avalanche: Grizzly Gulch,Salt Lake,Skier,"10""",
194,2/18/2024,Avalanche: Y Couloir,Salt Lake,Natural,,40'
195,2/18/2024,Avalanche: Ben Lomond,Ogden,Natural,3.5',250'
196,2/18/2024,Avalanche: Rocky Point,Salt Lake,Skier,2.5',60'
197,2/18/2024,Avalanche: Upper Setting,Uintas,Natural,"14""",70'
198,2/18/2024,Avalanche: Highline,Salt Lake,Snowboarder,"11""",50'
199,2/18/2024,Avalanche: Ogden,Ogden,Natural,4',300'
200,2/18/2024,Avalanche: Ogden,Ogden,Natural,4',300'
201,2/18/2024,Avalanche: Provo,Provo,Skier,"6""",15'
202,2/18/2024,Avalanche: Sunrise Hill,Logan,Natural,"12""",30'
203,2/17/2024,Avalanche: Silver Fork,Salt Lake,Unknown,"12""",80'
204,2/17/2024,Avalanche: Cornice Ridge,Logan,Snowmobiler,"18""",200'
205,2/17/2024,Avalanche: Mirror Lake Environs,Uintas,Natural,,200'
206,2/17/2024,Avalanche: Bloomington Canyon,Logan,Natural,"12""",30'
207,2/17/2024,Avalanche: Cardiff Bowl,Salt Lake,Skier,"6""",25'
208,2/17/2024,Avalanche: Meadows,Salt Lake,Skier,"10""",60'
209,2/17/2024,Avalanche: Guardsman Pass area,Salt Lake,Snowmobiler,"6""",40'
210,2/17/2024,Avalanche: Cone,Salt Lake,Snowboarder,"14""",40'
211,2/17/2024,Avalanche: Superior,Salt Lake,Snowboarder,2',175'
212,2/17/2024,Avalanche: Superior,Salt Lake,Snowboarder,"12""",50'
213,2/17/2024,Avalanche: Superior,Salt Lake,Skier,"12""",150'
214,2/17/2024,Avalanche: Three Temptations,Provo,Skier,2',300'
215,2/17/2024,Avalanche: Michigan City,Salt Lake,Natural,"16""",250'
216,2/17/2024,Avalanche: Cone Head,Salt Lake,Skier,2.5',50'
217,2/17/2024,Avalanche: Hellgate,Salt Lake,Unknown,,
218,2/17/2024,Avalanche: Thurston Peak,Ogden,Natural,"12""",35'
219,2/17/2024,Avalanche: Three Terraces,Logan,Snowmobiler,2',200'
220,2/17/2024,Avalanche: Chicken Hill,Logan,Natural,2',100'
221,2/17/2024,Avalanche: Bells Canyon,Salt Lake,Unknown,5',300'
222,2/17/2024,Avalanche: White Pine Knob,Logan,Natural,2',150'
223,2/17/2024,Avalanche: Boss Canyon,Logan,Snowmobiler,"18""",125'
224,2/17/2024,Avalanche: Superior,Salt Lake,Skier,"14""",40'
225,2/17/2024,Avalanche: Hells Canyon,Ogden,Skier,"16""",50'
226,2/16/2024,Avalanche: Silver Fork,Salt Lake,Skier,"10""",60'
227,2/16/2024,Avalanche: Mt Aire,Salt Lake,Skier,"10""",150'
228,2/16/2024,Avalanche: Green Slope,Salt Lake,Skier,"5""",20'
229,2/16/2024,Avalanche: SR 264,Skyline,Natural,,
230,2/16/2024,Avalanche: Double Hill,Uintas,Natural,"12""",150'
231,2/16/2024,Avalanche: Blue Ice,Salt Lake,Natural,6',50'
232,2/16/2024,Avalanche: Toledo Chutes,Salt Lake,Snowboarder,"6""",25'
233,2/16/2024,Avalanche: Monte Cristo,Ogden,Snowmobiler,"8""",30'
234,2/16/2024,Avalanche: Provo,Provo,Natural,"4""",400'
235,2/16/2024,Avalanche: Powder Mountain,Ogden,Natural,"12""",60'
236,2/16/2024,Avalanche: Tony Grove Lake,Logan,Natural,"12""",125'
237,2/16/2024,Avalanche: Upper Days,Salt Lake,Other,2',60'
238,2/15/2024,Avalanche: Park City Ridgeline,Salt Lake,Unknown,,
239,2/15/2024,Avalanche: Timpanogos,Provo,Natural,,
240,2/15/2024,Avalanche: Yellow Jacket,Salt Lake,Natural,"15""",
241,2/15/2024,Avalanche: Michigan City,Salt Lake,Natural,"10""",40'
242,2/15/2024,Avalanche: West Willow,Salt Lake,Natural,,
243,2/15/2024,Avalanche: Ant Knolls,Provo,Hiker,"18""",50'
244,2/15/2024,Avalanche: Bloomington Canyon,Logan,Natural,"12""",
245,2/15/2024,Avalanche: Spring Hollow,Logan,Natural,"10""",80'
246,2/15/2024,Avalanche: Park City Ridgeline,Salt Lake,Hiker,"8""",
247,2/15/2024,Avalanche: Emma Ridges,Salt Lake,Skier,"5""",30'
248,2/15/2024,Avalanche: Green Gate Area,Logan,Natural,"12""",150'
249,2/15/2024,Avalanche: Mineral Fork,Salt Lake,Unknown,"10""",100'
250,2/15/2024,Avalanche: Ben Lomond,Ogden,Natural,"18""",
251,2/15/2024,Avalanche: UFO Bowls,Provo,Natural,3',200'
252,2/15/2024,Avalanche: Uintas,Uintas,Skier,2',100'
253,2/15/2024,Avalanche: Garden City Bowls,Logan,Skier,"10""",50'
254,2/15/2024,Avalanche: West Scotties,Salt Lake,Snowboarder,"10""",40'
255,2/15/2024,Avalanche: Park City Ridgeline,Salt Lake,Unknown,,
256,2/14/2024,Avalanche: Bountiful,Salt Lake,Snowmobiler,"12""",200'
257,2/13/2024,Avalanche: Big Springs,Provo,Natural,,
258,2/13/2024,Avalanche: Provo Canyon,Provo,,,
259,2/11/2024,Avalanche: Lisa Falls,Salt Lake,Skier,2',100'
260,2/11/2024,Avalanche: Hogum,Salt Lake,Natural,3',300'
261,2/11/2024,Accident: Chalk Creek,Uintas,Snowmobiler,6',600'
262,2/11/2024,Avalanche: Little Pine,Salt Lake,Unknown,,
263,2/11/2024,Avalanche: Little Cottonwood Canyon,Salt Lake,Skier,"2""",100'
264,2/11/2024,Avalanche: Broads Fork,Salt Lake,,,
265,2/11/2024,Avalanche: West Desolation Ridge,Salt Lake,Natural,,
266,2/11/2024,Avalanche: Aspen Grove,Provo,,"20""",200'
267,2/11/2024,Avalanche: Pioneer Ridge,Salt Lake,Snowboarder,3',70'
268,2/11/2024,Avalanche: White Pine Chutes,Salt Lake,Natural,"12""",40'
269,2/10/2024,Avalanche: Pole Canyon,Provo,Skier,3',30'
270,2/10/2024,Avalanche: Days Headwall,Salt Lake,Unknown,3',100'
271,2/10/2024,Avalanche: Banana Days,Salt Lake,Unknown,"20""",150'
272,2/10/2024,Avalanche: Cardiac Ridge,Salt Lake,Skier,3.5',350'
273,2/10/2024,Avalanche: Lake Peak,Salt Lake,Natural,,400'
274,2/10/2024,Avalanche: Little Cottonwood Canyon,Salt Lake,Natural,,300'
275,2/10/2024,Avalanche: Microwave,Salt Lake,Skier,"18""",50'
276,2/10/2024,Avalanche: Bloomington Peak,Logan,Snowmobiler,2',60'
277,2/10/2024,Avalanche: Silver Creek,Provo,Skier,"3""",30'
278,2/10/2024,Avalanche: Main Gobblers,Salt Lake,Unknown,5',400'
279,2/10/2024,Avalanche: Broads Fork/Mill B,Salt Lake,Natural,,100'
280,2/9/2024,Avalanche: Silver Creek,Provo,Natural,,
281,2/9/2024,Avalanche: Mary Ellen Gulch,Provo,Natural,,
282,2/9/2024,Avalanche: Little Cottonwood Canyon,Salt Lake,Unknown,2',
283,2/9/2024,Avalanche: Mary Ellen Gulch,Provo,Natural,,
284,2/9/2024,Avalanche: Provo Peak,Provo,Natural,3.5',"1,500'"
285,2/9/2024,Avalanche: Provo Peak,Provo,Natural,4',"1,500'"
286,2/9/2024,Avalanche: Beaver Mountain Backcountry,Logan,Skier,"4""",50'
287,2/9/2024,Avalanche: Aspen Grove,Provo,Skier,,
288,2/9/2024,Avalanche: Maybird Gulch,Salt Lake,Natural,"4""","3,500'"
289,2/8/2024,Avalanche: Currant Creek Environs,Uintas,Snowmobiler,4.5',40'
290,2/8/2024,Avalanche: Red Baldy,Salt Lake,Natural,,
291,2/8/2024,Avalanche: Room of Doom,Salt Lake,Natural,,
292,2/8/2024,Avalanche: Brian Head Ski Resort,Southwest,Skier,"6""",
293,2/8/2024,Avalanche: Bells Canyon,Salt Lake,Skier,2.5',50'
294,2/8/2024,Avalanche: Abajos,Abajos,Natural,2',400'
295,2/7/2024,Avalanche: Cascade Ridge line,Provo,Natural,,
296,2/7/2024,Avalanche: Greaseball,Salt Lake,Natural,"12""",100'
297,2/7/2024,Avalanche: Dog Dish,Salt Lake,Unknown,,
298,2/7/2024,Avalanche: Spring City Canyon,Skyline,Snowmobiler,"6""",40'
299,2/7/2024,Avalanche: Weber Canyon Environs,Uintas,Natural,2.5',200'
300,2/7/2024,Avalanche: Rock Canyon,Provo,Unknown,,
301,2/7/2024,Avalanche: Lower Funnel,Moab,Natural,2',100'
302,2/7/2024,Avalanche: Chalk Creek,Uintas,Natural,3.5',300'
303,2/7/2024,Avalanche: Laurel Cirque,Moab,Natural,,600'
304,2/7/2024,Avalanche: Dory Canyon,Moab,Natural,3.5',900'
305,2/7/2024,Avalanche: Hazard County,Moab,Natural,2.5',150'
306,2/7/2024,Avalanche: West Porter,Salt Lake,Natural,,500'
307,2/7/2024,Avalanche: Corkscrew Glades,Moab,Natural,3.5',125'
308,2/7/2024,Avalanche: Funnel,Moab,Natural,"18""",400'
309,2/7/2024,Avalanche: Mid-Funnel,Moab,Natural,,200'
310,2/7/2024,Avalanche: Exxon's Folly,Moab,Natural,3',250'
311,2/7/2024,Avalanche: Greaseball,Salt Lake,Natural,"12""",100'
312,2/7/2024,Avalanche: Cascade Ridge line,Provo,Natural,,
313,2/6/2024,Avalanche: Elk Point,Provo,Natural,3.5',600'
314,2/6/2024,Avalanche: Porter Fork,Salt Lake,Natural,2',25'
315,2/6/2024,Avalanche: Sugarloaf,Salt Lake,Skier,2',300'
316,2/6/2024,Avalanche: White Pine,Salt Lake,Skier,3',50'
317,2/6/2024,Avalanche: Patsy Marly,Salt Lake,Skier,"18""",30'
318,2/6/2024,Avalanche: Ben Lomond Headwall,Ogden,Natural,,
319,2/6/2024,Avalanche: Suicide Chute,Salt Lake,Skier,,
320,2/6/2024,Avalanche: Silver Fork Headwall,Salt Lake,Natural,,
321,2/5/2024,Avalanche: Goal Post,Logan,Natural,,
322,2/5/2024,Avalanche: Elk Point,Provo,Natural,4',450'
323,2/5/2024,Avalanche: Music Note,Logan,Natural,2',
324,2/5/2024,Avalanche: Oscar Mayer,Logan,Natural,2',150'
325,2/5/2024,Avalanche: Cardiff Fork,Salt Lake,Snowboarder,2',40'
326,2/5/2024,Avalanche: Rocky Point,Salt Lake,Skier,"12""",20'
327,2/4/2024,Avalanche: Lake Peak,Salt Lake,Skier,"18""",90'
328,2/4/2024,Avalanche: Cardiff Peak,Salt Lake,Snowboarder,"12""",70'
329,2/4/2024,Avalanche: Hidden Canyon,Salt Lake,Unknown,4',100'
330,2/4/2024,Avalanche: Days Fork,Salt Lake,,"16""",100'
331,2/4/2024,Avalanche: White Canyon,Provo,Unknown,,
332,2/4/2024,Avalanche: Reynolds Pk,Salt Lake,Skier,"4""",100'
333,2/4/2024,Avalanche: Cardiac Ridge,Salt Lake,Natural,"18""",150'
334,2/4/2024,Avalanche: Mill D North,Salt Lake,Skier,"8""",25'
335,2/4/2024,Avalanche: Lake Peak,Salt Lake,Skier,"12""",50'
336,2/4/2024,Avalanche: Chalk Creek,Uintas,Natural,"6""",70'
337,2/4/2024,Avalanche: Tukno NE Face,Moab,Skier,6',"1,000'"
338,2/3/2024,Avalanche: TMC Adjacent El Pinche,Moab,Natural,3',125'
339,2/3/2024,Avalanche: Spring Creek,Skyline,Natural,"18""","1,500'"
340,2/3/2024,Avalanche: Lacawaxan,Salt Lake,Snowboarder,"12""",50'
341,2/3/2024,Avalanche: Bloomington Canyon,Logan,Skier,"12""",80'
342,2/3/2024,Avalanche: White Pine Chutes,Salt Lake,Skier,"5""",40'
343,2/3/2024,Avalanche: Brian Head Backcountry,Southwest,Skier,6',125'
344,2/3/2024,Avalanche: TMC NE Face Skier's Left,Moab,Natural,3',200'
345,2/3/2024,Avalanche: TMC NE Face Skier's Right,Moab,Natural,4',350'
346,2/3/2024,Avalanche: Travis' Bowl,Moab,Natural,2.5',450'
347,2/3/2024,Avalanche: TMC Main Gut NW Face,Moab,Natural,2.5',450'
348,2/2/2024,Avalanche: Salt Lake Twins,Salt Lake,Natural,3',"1,000'"
349,2/2/2024,Avalanche: Northern Bear River Range,Logan,Snowboarder,"2""",40'
350,2/2/2024,Avalanche: Northern Bear River Range,Logan,Snowboarder,"2""",40'
351,2/2/2024,Avalanche: Bloomington Canyon,Logan,Skier,"2""",10'
352,1/31/2024,Avalanche: Notch Mountain,Uintas,Natural,"2""",100'
353,1/30/2024,Avalanche: Days Fork,Salt Lake,Skier,5',150'
354,1/30/2024,Avalanche: Timpanogos,Provo,Natural,,
355,1/30/2024,Avalanche: Mitton Peak,Logan,Natural,2',200'
356,1/30/2024,Avalanche: Room of Doom,Salt Lake,Natural,,50'
